Problem:    type2
Rows:       10808
Columns:    30400 (30400 integer, 30400 binary)
Non-zeros:  98040
Status:     INTEGER OPTIMAL
Objective:  cost = 1.8234 (MINimum)

   No.   Row name        Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
     1 cost                   1.8234                             
     2 cpucon[100,0]
                                   0      -57.7098               
     3 cpucon[100,1]
                                   0      -74.7266               
     4 cpucon[100,2]
                                   0      -48.2072               
     5 cpucon[100,3]
                                   0      -60.4315               
     6 cpucon[100,4]
                                   0      -45.1629               
     7 cpucon[100,5]
                                   0      -69.0703               
     8 cpucon[100,6]
                                   0      -59.6406               
     9 cpucon[100,7]
                                   0      -63.9503               
    10 cpucon[100,8]
                                   0       -49.407               
    11 cpucon[100,9]
                                   0      -62.8086               
    12 cpucon[100,10]
                                   0      -71.1031               
    13 cpucon[100,11]
                                   0      -54.5852               
    14 cpucon[100,12]
                                   0       -83.326               
    15 cpucon[100,13]
                                   0      -60.4961               
    16 cpucon[100,14]
                                   0      -82.5013               
    17 cpucon[100,15]
                                   0      -72.7417               
    18 cpucon[100,16]
                                   0      -59.2732               
    19 cpucon[100,17]
                                   0      -76.8761               
    20 cpucon[100,18]
                                   0      -42.6468               
    21 cpucon[100,19]
                                   0      -91.3367               
    22 cpucon[100,20]
                                   0      -47.3174               
    23 cpucon[100,21]
                                   0      -55.3148               
    24 cpucon[100,22]
                                   0      -75.0034               
    25 cpucon[100,23]
                                   0      -72.6998               
    26 cpucon[100,24]
                                   0      -79.6904               
    27 cpucon[100,25]
                                   0      -67.4598               
    28 cpucon[100,26]
                                   0      -83.3054               
    29 cpucon[100,27]
                                   0      -72.2577               
    30 cpucon[100,28]
                                   0      -50.9229               
    31 cpucon[100,29]
                                   0       -39.882               
    32 cpucon[100,30]
                                   0      -47.4246               
    33 cpucon[100,31]
                                   0       -49.436               
    34 cpucon[100,32]
                                   0      -59.6872               
    35 cpucon[100,33]
                                   0      -59.8374               
    36 cpucon[100,34]
                                   0      -65.2451               
    37 cpucon[100,35]
                                   0      -69.8131               
    38 cpucon[100,36]
                                   0      -60.9382               
    39 cpucon[100,37]
                                   0      -67.1711               
    40 cpucon[100,38]
                            -38.5734      -75.9535               
    41 cpucon[100,39]
                                   0      -62.5246               
    42 cpucon[100,40]
                                   0      -51.8942               
    43 cpucon[100,41]
                                   0      -59.5203               
    44 cpucon[100,42]
                                   0      -84.4612               
    45 cpucon[100,43]
                                   0       -47.317               
    46 cpucon[100,44]
                                   0      -59.6248               
    47 cpucon[100,45]
                                   0      -65.8893               
    48 cpucon[100,46]
                                   0      -93.6052               
    49 cpucon[100,47]
                                   0      -57.8095               
    50 cpucon[100,48]
                                   0      -81.7958               
    51 cpucon[100,49]
                                   0      -63.9172               
    52 cpucon[100,50]
                                   0      -64.1596               
    53 cpucon[100,51]
                                   0      -43.9032               
    54 cpucon[100,52]
                                   0      -55.2983               
    55 cpucon[100,53]
                                   0      -47.2348               
    56 cpucon[100,54]
                                   0      -59.4112               
    57 cpucon[100,55]
                                   0      -75.7303               
    58 cpucon[100,56]
                                   0      -64.0553               
    59 cpucon[100,57]
                                   0      -63.3348               
    60 cpucon[100,58]
                                   0      -84.7712               
    61 cpucon[100,59]
                                   0      -80.0572               
    62 cpucon[100,60]
                                   0      -71.4686               
    63 cpucon[100,61]
                                   0      -84.2029               
    64 cpucon[100,62]
                                   0      -67.1109               
    65 cpucon[100,63]
                                   0      -92.6945               
    66 cpucon[100,64]
                                   0      -76.1822               
    67 cpucon[100,65]
                                   0      -81.4814               
    68 cpucon[100,66]
                                   0       -87.634               
    69 cpucon[100,67]
                                   0      -56.2805               
    70 cpucon[100,68]
                                   0      -86.5917               
    71 cpucon[100,69]
                                   0      -70.8577               
    72 cpucon[100,70]
                                   0      -55.4337               
    73 cpucon[100,71]
                                   0      -54.6874               
    74 cpucon[100,72]
                                   0      -90.1348               
    75 cpucon[100,73]
                                   0      -52.1407               
    76 cpucon[100,74]
                                   0      -80.7639               
    77 cpucon[100,75]
                                   0      -77.3704               
    78 cpucon[100,76]
                                   0      -89.4929               
    79 cpucon[100,77]
                                   0      -90.5301               
    80 cpucon[100,78]
                                   0      -71.8623               
    81 cpucon[100,79]
                                   0       -69.089               
    82 cpucon[100,80]
                                   0      -50.9007               
    83 cpucon[100,81]
                                   0       -73.406               
    84 cpucon[100,82]
                                   0      -73.1088               
    85 cpucon[100,83]
                                   0      -74.3414               
    86 cpucon[100,84]
                                   0      -58.7571               
    87 cpucon[100,85]
                                   0      -90.2464               
    88 cpucon[100,86]
                                   0      -64.4372               
    89 cpucon[100,87]
                                   0      -48.2428               
    90 cpucon[100,88]
                                   0      -60.7371               
    91 cpucon[100,89]
                                   0      -86.3651               
    92 cpucon[100,90]
                                   0      -62.8401               
    93 cpucon[100,91]
                                   0      -86.8304               
    94 cpucon[100,92]
                                   0      -74.8315               
    95 cpucon[100,93]
                                   0      -97.7583               
    96 cpucon[100,94]
                                   0      -66.5628               
    97 cpucon[100,95]
                                   0      -47.7709               
    98 cpucon[100,96]
                                   0      -14.5583               
    99 cpucon[100,97]
                                   0      -62.8444               
   100 cpucon[100,98]
                                   0      -45.8286               
   101 cpucon[100,99]
                                   0      -69.3835               
   102 cpucon[101,0]
                                   0      -57.7098               
   103 cpucon[101,1]
                                   0      -74.7266               
   104 cpucon[101,2]
                                   0      -48.2072               
   105 cpucon[101,3]
                                   0      -60.4315               
   106 cpucon[101,4]
                                   0      -45.1629               
   107 cpucon[101,5]
                                   0      -69.0703               
   108 cpucon[101,6]
                                   0      -59.6406               
   109 cpucon[101,7]
                                   0      -63.9503               
   110 cpucon[101,8]
                                   0       -49.407               
   111 cpucon[101,9]
                                   0      -62.8086               
   112 cpucon[101,10]
                                   0      -71.1031               
   113 cpucon[101,11]
                                   0      -54.5852               
   114 cpucon[101,12]
                                   0       -83.326               
   115 cpucon[101,13]
                                   0      -60.4961               
   116 cpucon[101,14]
                                   0      -82.5013               
   117 cpucon[101,15]
                                   0      -72.7417               
   118 cpucon[101,16]
                                   0      -59.2732               
   119 cpucon[101,17]
                                   0      -76.8761               
   120 cpucon[101,18]
                                   0      -42.6468               
   121 cpucon[101,19]
                                   0      -91.3367               
   122 cpucon[101,20]
                                   0      -47.3174               
   123 cpucon[101,21]
                                   0      -55.3148               
   124 cpucon[101,22]
                                   0      -75.0034               
   125 cpucon[101,23]
                                   0      -72.6998               
   126 cpucon[101,24]
                                   0      -79.6904               
   127 cpucon[101,25]
                                   0      -67.4598               
   128 cpucon[101,26]
                                   0      -83.3054               
   129 cpucon[101,27]
                                   0      -72.2577               
   130 cpucon[101,28]
                                   0      -50.9229               
   131 cpucon[101,29]
                                   0       -39.882               
   132 cpucon[101,30]
                                   0      -47.4246               
   133 cpucon[101,31]
                                   0       -49.436               
   134 cpucon[101,32]
                                   0      -59.6872               
   135 cpucon[101,33]
                                   0      -59.8374               
   136 cpucon[101,34]
                                   0      -65.2451               
   137 cpucon[101,35]
                                   0      -69.8131               
   138 cpucon[101,36]
                                   0      -60.9382               
   139 cpucon[101,37]
                                   0      -67.1711               
   140 cpucon[101,38]
                                   0      -75.9535               
   141 cpucon[101,39]
                                   0      -62.5246               
   142 cpucon[101,40]
                                   0      -51.8942               
   143 cpucon[101,41]
                                   0      -59.5203               
   144 cpucon[101,42]
                                   0      -84.4612               
   145 cpucon[101,43]
                                   0       -47.317               
   146 cpucon[101,44]
                                   0      -59.6248               
   147 cpucon[101,45]
                                   0      -65.8893               
   148 cpucon[101,46]
                                   0      -93.6052               
   149 cpucon[101,47]
                                   0      -57.8095               
   150 cpucon[101,48]
                                   0      -81.7958               
   151 cpucon[101,49]
                                   0      -63.9172               
   152 cpucon[101,50]
                                   0      -64.1596               
   153 cpucon[101,51]
                                   0      -43.9032               
   154 cpucon[101,52]
                                   0      -55.2983               
   155 cpucon[101,53]
                                   0      -47.2348               
   156 cpucon[101,54]
                                   0      -59.4112               
   157 cpucon[101,55]
                                   0      -75.7303               
   158 cpucon[101,56]
                                   0      -64.0553               
   159 cpucon[101,57]
                                   0      -63.3348               
   160 cpucon[101,58]
                                   0      -84.7712               
   161 cpucon[101,59]
                                   0      -80.0572               
   162 cpucon[101,60]
                                   0      -71.4686               
   163 cpucon[101,61]
                                   0      -84.2029               
   164 cpucon[101,62]
                                   0      -67.1109               
   165 cpucon[101,63]
                                   0      -92.6945               
   166 cpucon[101,64]
                                   0      -76.1822               
   167 cpucon[101,65]
                                   0      -81.4814               
   168 cpucon[101,66]
                                   0       -87.634               
   169 cpucon[101,67]
                                   0      -56.2805               
   170 cpucon[101,68]
                                   0      -86.5917               
   171 cpucon[101,69]
                                   0      -70.8577               
   172 cpucon[101,70]
                                   0      -55.4337               
   173 cpucon[101,71]
                                   0      -54.6874               
   174 cpucon[101,72]
                                   0      -90.1348               
   175 cpucon[101,73]
                                   0      -52.1407               
   176 cpucon[101,74]
                                   0      -80.7639               
   177 cpucon[101,75]
                                   0      -77.3704               
   178 cpucon[101,76]
                                   0      -89.4929               
   179 cpucon[101,77]
                                   0      -90.5301               
   180 cpucon[101,78]
                                   0      -71.8623               
   181 cpucon[101,79]
                                   0       -69.089               
   182 cpucon[101,80]
                                   0      -50.9007               
   183 cpucon[101,81]
                                   0       -73.406               
   184 cpucon[101,82]
                             -27.664      -73.1088               
   185 cpucon[101,83]
                                   0      -74.3414               
   186 cpucon[101,84]
                                   0      -58.7571               
   187 cpucon[101,85]
                                   0      -90.2464               
   188 cpucon[101,86]
                                   0      -64.4372               
   189 cpucon[101,87]
                                   0      -48.2428               
   190 cpucon[101,88]
                                   0      -60.7371               
   191 cpucon[101,89]
                                   0      -86.3651               
   192 cpucon[101,90]
                                   0      -62.8401               
   193 cpucon[101,91]
                                   0      -86.8304               
   194 cpucon[101,92]
                                   0      -74.8315               
